Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2001-01-31,4.12,4.1715,4.052,4.08
2001-02-28,4.06,4.173,4.005,4.0375
2001-03-31,4.035,4.164,3.942,4.0903
2001-04-30,4.0889,4.1072,3.9509,3.9618
2001-05-31,3.9631,4.0427,3.9326,3.9824
2001-06-30,3.9824,4.0117,3.9235,4.0069
2001-07-31,4.0074,4.5427,3.9799,4.2558
2001-08-31,4.26,4.331,4.1885,4.239
2001-09-30,4.239,4.2679,4.1332,4.2283
2001-10-31,4.2306,4.2354,4.0672,4.0908
2001-11-30,4.0908,4.1609,4.0524,4.0659
2001-12-31,4.0627,4.1046,3.9439,3.9623
2002-01-31,3.9635,4.1939,3.8992,4.1732
2002-02-28,4.1714,4.2856,4.1369,4.2247
2002-03-31,4.2276,4.238,4.0953,4.1183
2002-04-30,4.1183,4.1208,3.9729,3.9918
2002-05-31,3.9922,4.1342,3.9521,4.0177
2002-06-30,4.0181,4.0739,3.9937,4.0537
2002-07-31,4.0566,4.2315,4.0021,4.1743
2002-08-31,4.1784,4.2188,4.1262,4.1277
2002-09-30,4.1292,4.1964,4.1042,4.1466
2002-10-31,4.1242,4.1871,4.0238,4.0306
2002-11-30,4.022,4.0332,3.8752,4.0147
2002-12-31,4.0153,4.0153,3.8185,3.828
2003-01-31,3.8275,3.9464,3.782,3.821
2003-02-28,3.8185,3.9123,3.8055,3.9107
2003-03-31,3.9223,4.1193,3.8893,4.1005
2003-04-30,4.108,4.1105,3.8075,3.8115
2003-05-31,3.8175,3.823,3.6613,3.7144
2003-06-30,3.7359,3.9371,3.6872,3.8988
2003-07-31,3.8935,4.01,3.8085,3.8664
2003-08-31,3.8789,4.0296,3.829,3.97
2003-09-30,3.9641,4.0701,3.8907,3.9468
2003-10-31,3.9353,4.0555,3.795,4.025
2003-11-30,4.045,4.0465,3.8492,3.902
2003-12-31,3.895,3.9088,3.72,3.7253
2004-01-31,3.74,3.8684,3.6415,3.8589
2004-02-29,3.8457,3.9357,3.766,3.9283
2004-03-31,3.9202,3.993,3.803,3.8645
2004-04-30,3.8637,4.0669,3.8314,4.015
2004-05-31,4.03,4.0447,3.777,3.8159
2004-06-30,3.8031,3.8318,3.689,3.6945
2004-07-31,3.6977,3.7163,3.5453,3.633
2004-08-31,3.6407,3.729,3.5587,3.6526
2004-09-30,3.6529,3.6633,3.4915,3.5091
2004-10-31,3.5093,3.5365,3.362,3.3842
2004-11-30,3.3824,3.3996,3.1473,3.1521
2004-12-31,3.1427,3.2172,2.9674,2.9994
2005-01-31,3.0155,3.1889,3.0018,3.1106
2005-02-28,3.1107,3.1525,2.9372,2.9384
2005-03-31,2.9488,3.2561,2.9006,3.1445
2005-04-30,3.1491,3.3276,3.1115,3.3087
2005-05-31,3.3253,3.3641,3.1825,3.3612
2005-06-30,3.3793,3.4063,3.2773,3.3431
2005-07-31,3.351,3.4533,3.3246,3.3531
2005-08-31,3.3415,3.3455,3.2223,3.2707
2005-09-30,3.25,3.2763,3.1122,3.2369
2005-10-31,3.2698,3.3144,3.1941,3.3074
2005-11-30,3.3025,3.4505,3.2771,3.3133
2005-12-31,3.3205,3.3378,3.1745,3.2447
2006-01-31,3.2478,3.2689,3.091,3.1457
2006-02-28,3.1459,3.2156,3.1326,3.1699
2006-03-31,3.172,3.3102,3.1408,3.2352
2006-04-30,3.2543,3.2848,3.0645,3.0703
2006-05-31,3.0744,3.1247,2.9824,3.0666
2006-06-30,3.0841,3.2999,3.024,3.1906
2006-07-31,3.1827,3.2302,3.0625,3.0912
2006-08-31,3.0944,3.0995,2.9856,3.0798
2006-09-30,3.079,3.1505,3.0788,3.1276
2006-10-31,3.1351,3.1353,3.0276,3.0285
2006-11-30,3.0301,3.0393,2.8741,2.8761
2006-12-31,2.8725,2.9291,2.8519,2.9018
2007-01-31,2.8854,3.0528,2.8752,3.0079
2007-02-28,2.9966,3.031,2.9387,2.969
2007-03-31,2.9582,2.9963,2.8841,2.8854
2007-04-30,2.891,2.8939,2.7604,2.7719
2007-05-31,2.7796,2.8591,2.7456,2.8357
2007-06-30,2.8331,2.8984,2.7779,2.7852
2007-07-31,2.7802,2.7964,2.7116,2.7667
2007-08-31,2.7914,2.878,2.7249,2.8059
2007-09-30,2.8003,2.8219,2.6474,2.6495
2007-10-31,2.642,2.6804,2.4984,2.508
2007-11-30,2.5178,2.527,2.4418,2.4568
2007-12-31,2.4569,2.5294,2.4195,2.4465
2008-01-31,2.4515,2.5544,2.3964,2.4312
2008-02-29,2.4219,2.5034,2.3117,2.3123
2008-03-31,2.3222,2.3372,2.2135,2.2266
2008-04-30,2.2434,2.2519,2.1294,2.2152
2008-05-31,2.2228,2.2328,2.1439,2.1686
2008-06-30,2.174,2.2198,2.118,2.1293
2008-07-31,2.126,2.1317,2.0186,2.0603
2008-08-31,2.0658,2.2825,2.0539,2.2742
2008-09-30,2.2752,2.4736,2.2238,2.4161
2008-10-31,2.4063,3.1487,2.3835,2.7542
2008-11-30,2.7366,3.1222,2.6774,2.9718
2008-12-31,2.9812,3.0906,2.8174,2.9383
2009-01-31,2.9793,3.4925,2.8572,3.4706
2009-02-28,3.4974,3.913,3.3789,3.6588
2009-03-31,3.7329,3.8156,3.2953,3.5139
2009-04-30,3.5248,3.5355,3.1851,3.3455
2009-05-31,3.2805,3.3336,3.1204,3.1928
2009-06-30,3.1879,3.3032,3.0984,3.172
2009-07-31,3.1676,3.2063,2.9039,2.9079
2009-08-31,2.9109,2.9901,2.8225,2.8526
2009-09-30,2.8445,2.9457,2.7734,2.8691
2009-10-31,2.8923,2.9558,2.7671,2.8859
2009-11-30,2.8777,2.9445,2.7127,2.779
2009-12-31,2.7703,2.9493,2.6992,2.8602
2010-01-31,2.8704,2.9286,2.7723,2.9069
2010-02-28,2.9115,3.0216,2.8256,2.9008
2010-03-31,2.9033,2.925,2.795,2.8492
2010-04-30,2.851,3.0094,2.822,2.9547
2010-05-31,2.9548,3.4248,2.9496,3.3121
2010-06-30,3.3268,3.522,3.2198,3.3697
2010-07-31,3.3997,3.4084,3.0425,3.0673
2010-08-31,3.0557,3.1961,2.9813,3.1458
2010-09-30,3.1383,3.1429,2.9042,2.9136
2010-10-31,2.9007,2.9061,2.7507,2.8462
2010-11-30,2.8399,3.139,2.7261,3.0841
